Year,US_Airport,US_Airport_Name,US_State,FG_Airport,FG_State,FG_Airport_Name,Passengers,Flights
1990,ACY,Atlantic City International Airport,NJ,YUL,CA,Montreal / Pierre Elliott Trudeau International Airport,7730,103
1990,ACY,Atlantic City International Airport,NJ,YYZ,CA,Toronto Lester B. Pearson International Airport,19041,214
1990,ANC,Ted Stevens Anchorage International Airport,AK,AMS,NL,Amsterdam Airport Schiphol,119872,727
1990,ANC,Ted Stevens Anchorage International Airport,AK,ARN,SE,Stockholm-Arlanda Airport,15644,112
1990,ANC,Ted Stevens Anchorage International Airport,AK,BRU,BE,Brussels Airport,36108,254
1990,ANC,Ted Stevens Anchorage International Airport,AK,CDG,FR,Charles de Gaulle International Airport,97438,1089
1990,ANC,Ted Stevens Anchorage International Airport,AK,CPH,DK,Copenhagen Kastrup Airport,83389,462
1990,ANC,Ted Stevens Anchorage International Airport,AK,DUS,DE,Düsseldorf Airport,35020,140
1990,ANC,Ted Stevens Anchorage International Airport,AK,FRA,DE,Frankfurt Airport,5856,97
1990,ANC,Ted Stevens Anchorage International Airport,AK,LHR,GB,London Heathrow Airport,234305,1161
1990,ANC,Ted Stevens Anchorage International Airport,AK,NRT,JP,Narita International Airport,640714,7693
1990,ANC,Ted Stevens Anchorage International Airport,AK,TPE,TW,Taiwan Taoyuan International Airport,67804,838
1990,ANC,Ted Stevens Anchorage International Airport,AK,WAW,PL,Warsaw Chopin Airport,4135,25
1990,ANC,Ted Stevens Anchorage International Airport,AK,YZF,CA,Yellowknife International Airport,481,14
1990,ANC,Ted Stevens Anchorage International Airport,AK,ZRH,CH,Zürich Airport,50191,296
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,ACA,MX,Aeropuerto Internacional Juan N. Álvarez,4969,50
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,AMS,NL,Amsterdam Airport Schiphol,179493,964
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,BDA,BM,L.F. Wade International Airport,139659,749
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,CUN,MX,Aeropuerto Internacional de Cancún,73150,692
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,CZM,MX,Aeropuerto Internacional de Cozumel,22339,203
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,FRA,DE,Frankfurt Airport,267918,1505
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,GCM,KY,Owen Roberts International Airport,2270,34
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,KIN,JM,Norman Manley International Airport,5291,46
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,LGW,GB,London Gatwick Airport,353995,2082
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,MBJ,JM,Sangster International Airport,106302,1163
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,MEX,MX,Benito Juárez International Airport,79230,730
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,MUC,DE,Munich Airport,106118,651
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,NAS,BS,Lynden Pindling International Airport,193949,2171
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,ORY,FR,Paris-Orly Airport,114533,723
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,SNN,IE,Shannon Airport,73011,440
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,YOW,CA,Ottawa Macdonald-Cartier International Airport,315,11
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,YYZ,CA,Toronto Lester B. Pearson International Airport,1832,26
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,ZRH,CH,Zürich Airport,112057,683
1990,BDL,Bradley International Airport,CT,CUN,MX,Aeropuerto Internacional de Cancún,16993,107
1990,BDL,Bradley International Airport,CT,NAS,BS,Lynden Pindling International Airport,4169,52
1990,BGR,Bangor International Airport,ME,ACA,MX,Aeropuerto Internacional Juan N. Álvarez,11910,60
1990,BGR,Bangor International Airport,ME,ARN,SE,Stockholm-Arlanda Airport,3857,18
1990,BGR,Bangor International Airport,ME,BGI,BB,Grantley Adams International Airport,26309,85
1990,BGR,Bangor International Airport,ME,BHX,GB,Birmingham Airport,2202,10
1990,BGR,Bangor International Airport,ME,BRU,BE,Brussels Airport,2012,13
1990,BGR,Bangor International Airport,ME,CDG,FR,Charles de Gaulle International Airport,23803,128
1990,BGR,Bangor International Airport,ME,FRA,DE,Frankfurt Airport,2560,14
1990,BGR,Bangor International Airport,ME,HEL,FI,Helsinki Vantaa Airport,4013,10
1990,BGR,Bangor International Airport,ME,LGW,GB,London Gatwick Airport,167413,602
1990,BGR,Bangor International Airport,ME,LHR,GB,London Heathrow Airport,3818,19
1990,BGR,Bangor International Airport,ME,LTN,GB,London Luton Airport,22580,105
1990,BGR,Bangor International Airport,ME,MAN,GB,Manchester Airport,184240,660
1990,BGR,Bangor International Airport,ME,MBJ,JM,Sangster International Airport,8990,39
1990,BGR,Bangor International Airport,ME,POP,DO,Gregorio Luperon International Airport,18359,57
1990,BGR,Bangor International Airport,ME,PUJ,DO,Punta Cana International Airport,14711,64
1990,BGR,Bangor International Airport,ME,SNN,IE,Shannon Airport,13077,42
1990,BGR,Bangor International Airport,ME,STN,GB,London Stansted Airport,35715,157
1990,BGR,Bangor International Airport,ME,TLV,IL,Ben Gurion International Airport,5576,16
1990,BGR,Bangor International Airport,ME,VIE,AT,Vienna International Airport,3054,14
1990,BGR,Bangor International Airport,ME,YQX,CA,Gander International Airport / CFB Gander,20944,65
1990,BGR,Bangor International Airport,ME,ZRH,CH,Zürich Airport,2189,60
1990,BLI,Bellingham International Airport,WA,YVR,CA,Vancouver International Airport,552,101
1990,BNA,Nashville International Airport,TN,NAS,BS,Lynden Pindling International Airport,9890,104
1990,BNA,Nashville International Airport,TN,YYZ,CA,Toronto Lester B. Pearson International Airport,152600,2140
1990,BOS,Logan International Airport,MA,AMS,NL,Amsterdam Airport Schiphol,116912,520
1990,BOS,Logan International Airport,MA,ANU,AG,V C Bird International Airport,1842,12
1990,BOS,Logan International Airport,MA,AUA,AW,Queen Beatrix International Airport,42127,202
1990,BOS,Logan International Airport,MA,BDA,BM,L.F. Wade International Airport,190518,1393
1990,BOS,Logan International Airport,MA,BGI,BB,Grantley Adams International Airport,4358,15
1990,BOS,Logan International Airport,MA,BRU,BE,Brussels Airport,111800,581
1990,BOS,Logan International Airport,MA,CDG,FR,Charles de Gaulle International Airport,172687,946
1990,BOS,Logan International Airport,MA,CPH,DK,Copenhagen Kastrup Airport,6325,48
1990,BOS,Logan International Airport,MA,CUN,MX,Aeropuerto Internacional de Cancún,43564,303
1990,BOS,Logan International Airport,MA,FCO,IT,Rome–Fiumicino Leonardo da Vinci International Airport,12091,62
1990,BOS,Logan International Airport,MA,FPO,BS,Grand Bahama International Airport,3717,32
1990,BOS,Logan International Airport,MA,FRA,DE,Frankfurt Airport,293650,1438
1990,BOS,Logan International Airport,MA,GLA,GB,Glasgow International Airport,97250,431
1990,BOS,Logan International Airport,MA,LGW,GB,London Gatwick Airport,213704,753
1990,BOS,Logan International Airport,MA,LHR,GB,London Heathrow Airport,406596,1709
1990,BOS,Logan International Airport,MA,LIS,PT,Humberto Delgado Airport (Lisbon Portela Airport),23962,126
1990,BOS,Logan International Airport,MA,MAN,GB,Manchester Airport,6184,29
1990,BOS,Logan International Airport,MA,MBJ,JM,Sangster International Airport,7791,30
1990,BOS,Logan International Airport,MA,MXP,IT,Milan Malpensa International Airport,14673,55
1990,BOS,Logan International Airport,MA,NAS,BS,Lynden Pindling International Airport,5129,20
1990,BOS,Logan International Airport,MA,ORY,FR,Paris-Orly Airport,7011,19
1990,BOS,Logan International Airport,MA,PDL,PT,João Paulo II Airport,29486,147
1990,BOS,Logan International Airport,MA,PIK,GB,Glasgow Prestwick Airport,26850,136
1990,BOS,Logan International Airport,MA,POP,DO,Gregorio Luperon International Airport,4421,22
1990,BOS,Logan International Airport,MA,SID,CV,Amílcar Cabral International Airport,7389,73
1990,BOS,Logan International Airport,MA,SKB,KN,Robert L. Bradshaw International Airport,3580,14
1990,BOS,Logan International Airport,MA,SMA,PT,Santa Maria Airport,2637,13
1990,BOS,Logan International Airport,MA,SNN,IE,Shannon Airport,143746,596
1990,BOS,Logan International Airport,MA,SXM,SX,Princess Juliana International Airport,3218,23
1990,BOS,Logan International Airport,MA,TER,PT,Lajes Airport,8298,41
1990,BOS,Logan International Airport,MA,YHZ,CA,Halifax / Stanfield International Airport,116419,1756
1990,BOS,Logan International Airport,MA,YMX,CA,Montreal International (Mirabel) Airport,15482,236
1990,BOS,Logan International Airport,MA,YOW,CA,Ottawa Macdonald-Cartier International Airport,18855,510
1990,BOS,Logan International Airport,MA,YQX,CA,Gander International Airport / CFB Gander,6789,27
1990,BOS,Logan International Airport,MA,YUL,CA,Montreal / Pierre Elliott Trudeau International Airport,338054,3598
1990,BOS,Logan International Airport,MA,YYZ,CA,Toronto Lester B. Pearson International Airport,347045,5461
1990,BOS,Logan International Airport,MA,ZRH,CH,Zürich Airport,158781,731
1990,BRW,Wiley Post Will Rogers Memorial Airport,AK,YXY,CA,Whitehorse / Erik Nielsen International Airport,414,13
1990,BUF,Buffalo Niagara International Airport,NY,CUN,MX,Aeropuerto Internacional de Cancún,5514,34
1990,BUF,Buffalo Niagara International Airport,NY,YUL,CA,Montreal / Pierre Elliott Trudeau International Airport,30464,712
1990,BUF,Buffalo Niagara International Airport,NY,YYZ,CA,Toronto Lester B. Pearson International Airport,133402,2883
1990,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,AMS,NL,Amsterdam Airport Schiphol,28659,141
1990,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,AUA,AW,Queen Beatrix International Airport,5809,54
1990,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,BDA,BM,L.F. Wade International Airport,74323,726
1990,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,BGI,BB,Grantley Adams International Airport,4901,67
1990,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,CUN,MX,Aeropuerto Internacional de Cancún,61775,624
1990,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,FPO,BS,Grand Bahama International Airport,5709,57
1990,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,FRA,DE,Frankfurt Airport,12630,52
1990,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,GCM,KY,Owen Roberts International Airport,7995,89
1990,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,KEF,IS,Keflavik International Airport,29688,236
1990,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,LGW,GB,London Gatwick Airport,68420,549
1990,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,MBJ,JM,Sangster International Airport,92052,758
1990,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,NAS,BS,Lynden Pindling International Airport,77954,897
1990,BWI,Baltimore/Washington International Thurgood Marshall Airport,MD,YOW,CA,Ottawa Macdonald-Cartier International Airport,27037,693
1990,CHS,Charleston International Airport,SC,AUA,AW,Queen Beatrix International Airport,1352,11
1990,CLE,Cleveland Hopkins International Airport,OH,CUN,MX,Aeropuerto Internacional de Cancún,15106,118
1990,CLE,Cleveland Hopkins International Airport,OH,FRA,DE,Frankfurt Airport,10535,39
1990,CLE,Cleveland Hopkins International Airport,OH,MBJ,JM,Sangster International Airport,3347,34
1990,CLE,Cleveland Hopkins International Airport,OH,NAS,BS,Lynden Pindling International Airport,19007,206
1990,CLE,Cleveland Hopkins International Airport,OH,YUL,CA,Montreal / Pierre Elliott Trudeau International Airport,56326,1283
1990,CLE,Cleveland Hopkins International Airport,OH,YYZ,CA,Toronto Lester B. Pearson International Airport,182994,2819
1990,CLM,William R Fairchild International Airport,WA,YYJ,CA,Victoria International Airport,34298,3359
1990,CLT,Charlotte Douglas International Airport,NC,CUN,MX,Aeropuerto Internacional de Cancún,6299,62
1990,CLT,Charlotte Douglas International Airport,NC,FRA,DE,Frankfurt Airport,18931,130
1990,CLT,Charlotte Douglas International Airport,NC,LGW,GB,London Gatwick Airport,114815,726
1990,CLT,Charlotte Douglas International Airport,NC,NAS,BS,Lynden Pindling International Airport,70518,733
1990,CVG,Cincinnati Northern Kentucky International Airport,KY,CUN,MX,Aeropuerto Internacional de Cancún,33088,279
1990,CVG,Cincinnati Northern Kentucky International Airport,KY,FRA,DE,Frankfurt Airport,103170,616
1990,CVG,Cincinnati Northern Kentucky International Airport,KY,LGW,GB,London Gatwick Airport,124815,718
1990,CVG,Cincinnati Northern Kentucky International Airport,KY,MBJ,JM,Sangster International Airport,11424,113
1990,CVG,Cincinnati Northern Kentucky International Airport,KY,NAS,BS,Lynden Pindling International Airport,19600,207
1990,CVG,Cincinnati Northern Kentucky International Airport,KY,ORY,FR,Paris-Orly Airport,33279,311
1990,DAB,Daytona Beach International Airport,FL,YUL,CA,Montreal / Pierre Elliott Trudeau International Airport,1635,21
1990,DAB,Daytona Beach International Airport,FL,YYZ,CA,Toronto Lester B. Pearson International Airport,6699,79
1990,DEN,Denver International Airport,CO,CJS,MX,Abraham González International Airport,17545,239
1990,DEN,Denver International Airport,CO,CUN,MX,Aeropuerto Internacional de Cancún,16234,121
1990,DEN,Denver International Airport,CO,CZM,MX,Aeropuerto Internacional de Cozumel,1924,32
1990,DEN,Denver International Airport,CO,FRA,DE,Frankfurt Airport,7321,22
1990,DEN,Denver International Airport,CO,LGW,GB,London Gatwick Airport,119393,579
1990,DEN,Denver International Airport,CO,MAN,GB,Manchester Airport,3308,23
1990,DEN,Denver International Airport,CO,MEX,MX,Benito Juárez International Airport,8083,136
1990,DEN,Denver International Airport,CO,MZT,MX,General Rafael Buelna International Airport,30193,295
1990,DEN,Denver International Airport,CO,PVR,MX,Puerto Vallarta International Airport,11603,144
1990,DEN,Denver International Airport,CO,SJD,MX,Aeropuerto Internacional de Los Cabos,18965,206
1990,DEN,Denver International Airport,CO,YVR,CA,Vancouver International Airport,561,10
1990,DEN,Denver International Airport,CO,YYC,CA,Calgary International Airport,43814,722
1990,DFW,Dallas Fort Worth International Airport,TX,ACA,MX,Aeropuerto Internacional Juan N. Álvarez,134589,1453
1990,DFW,Dallas Fort Worth International Airport,TX,CUN,MX,Aeropuerto Internacional de Cancún,182744,1906
1990,DFW,Dallas Fort Worth International Airport,TX,CZM,MX,Aeropuerto Internacional de Cozumel,75974,784
1990,DFW,Dallas Fort Worth International Airport,TX,FRA,DE,Frankfurt Airport,324007,2005
1990,DFW,Dallas Fort Worth International Airport,TX,GDL,MX,Guadalajara International Airport,103379,1309
1990,DFW,Dallas Fort Worth International Airport,TX,GUA,GT,La Aurora Airport,32450,422
1990,DFW,Dallas Fort Worth International Airport,TX,HUX,MX,Bahías de Huatulco International Airport,9062,88
1990,DFW,Dallas Fort Worth International Airport,TX,LGW,GB,London Gatwick Airport,318498,1962
1990,DFW,Dallas Fort Worth International Airport,TX,MAD,ES,Adolfo Suárez Madrid–Barajas Airport,92667,707
1990,DFW,Dallas Fort Worth International Airport,TX,MBJ,JM,Sangster International Airport,20436,162
1990,DFW,Dallas Fort Worth International Airport,TX,MEX,MX,Benito Juárez International Airport,503512,5257
1990,DFW,Dallas Fort Worth International Airport,TX,MTY,MX,Monterrey International Airport,156469,2317
1990,DFW,Dallas Fort Worth International Airport,TX,NAS,BS,Lynden Pindling International Airport,6628,59
1990,DFW,Dallas Fort Worth International Airport,TX,NRT,JP,Narita International Airport,94313,629
1990,DFW,Dallas Fort Worth International Airport,TX,ORY,FR,Paris-Orly Airport,115602,717
1990,DFW,Dallas Fort Worth International Airport,TX,POP,DO,Gregorio Luperon International Airport,4810,38
1990,DFW,Dallas Fort Worth International Airport,TX,PTY,PA,Tocumen International Airport,2572,30
1990,DFW,Dallas Fort Worth International Airport,TX,PVR,MX,Puerto Vallarta International Airport,140921,1349
1990,DFW,Dallas Fort Worth International Airport,TX,SKB,KN,Robert L. Bradshaw International Airport,3770,30
1990,DFW,Dallas Fort Worth International Airport,TX,YYC,CA,Calgary International Airport,123339,1257
1990,DFW,Dallas Fort Worth International Airport,TX,YYZ,CA,Toronto Lester B. Pearson International Airport,223745,2148
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,ACA,MX,Aeropuerto Internacional Juan N. Álvarez,20772,65
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,AMS,NL,Amsterdam Airport Schiphol,6960,19
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,AUA,AW,Queen Beatrix International Airport,10463,49
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,CDG,FR,Charles de Gaulle International Airport,97560,473
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,CUN,MX,Aeropuerto Internacional de Cancún,38137,229
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,FPO,BS,Grand Bahama International Airport,6809,64
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,FRA,DE,Frankfurt Airport,119766,500
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,GCM,KY,Owen Roberts International Airport,2929,35
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,KEF,IS,Keflavik International Airport,3314,14
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,LGW,GB,London Gatwick Airport,5758,26
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,LHR,GB,London Heathrow Airport,78291,649
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,MBJ,JM,Sangster International Airport,28416,144
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,NAS,BS,Lynden Pindling International Airport,12200,123
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,NRT,JP,Narita International Airport,236898,723
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,PVR,MX,Puerto Vallarta International Airport,3482,29
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,SNN,IE,Shannon Airport,6720,24
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,WAW,PL,Warsaw Chopin Airport,2586,20
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,YMX,CA,Montreal International (Mirabel) Airport,60289,469
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,YQX,CA,Gander International Airport / CFB Gander,3600,13
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,YUL,CA,Montreal / Pierre Elliott Trudeau International Airport,208132,3001
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,YYZ,CA,Toronto Lester B. Pearson International Airport,379662,3906
1990,DTW,Detroit Metropolitan Wayne County Airport,MI,ZIH,MX,Aeropuerto Internacional de Zihuatanejo,2357,26
1990,ELP,El Paso International Airport,TX,MEX,MX,Benito Juárez International Airport,14567,313
1990,ERI,Erie International Tom Ridge Field,PA,YYZ,CA,Toronto Lester B. Pearson International Airport,65405,1399
1990,EWR,Newark Liberty International Airport,NJ,ACA,MX,Aeropuerto Internacional Juan N. Álvarez,3795,13
1990,EWR,Newark Liberty International Airport,NJ,AGP,ES,Málaga-Costa del Sol Airport,17025,104
1990,EWR,Newark Liberty International Airport,NJ,AMS,NL,Amsterdam Airport Schiphol,4853,16
1990,EWR,Newark Liberty International Airport,NJ,ANU,AG,V C Bird International Airport,23790,235
1990,EWR,Newark Liberty International Airport,NJ,ARN,SE,Stockholm-Arlanda Airport,99839,710
1990,EWR,Newark Liberty International Airport,NJ,AUA,AW,Queen Beatrix International Airport,55751,606
1990,EWR,Newark Liberty International Airport,NJ,BDA,BM,L.F. Wade International Airport,110924,890
1990,EWR,Newark Liberty International Airport,NJ,BOD,FR,Bordeaux-Mérignac Airport,11537,130
1990,EWR,Newark Liberty International Airport,NJ,CDG,FR,Charles de Gaulle International Airport,33535,214
1990,EWR,Newark Liberty International Airport,NJ,CGN,DE,Cologne Bonn Airport,16017,191
1990,EWR,Newark Liberty International Airport,NJ,CPH,DK,Copenhagen Kastrup Airport,118719,721
1990,EWR,Newark Liberty International Airport,NJ,CUN,MX,Aeropuerto Internacional de Cancún,50630,381
1990,EWR,Newark Liberty International Airport,NJ,FPO,BS,Grand Bahama International Airport,4654,155
1990,EWR,Newark Liberty International Airport,NJ,FRA,DE,Frankfurt Airport,67284,491
1990,EWR,Newark Liberty International Airport,NJ,GLA,GB,Glasgow International Airport,4093,22
1990,EWR,Newark Liberty International Airport,NJ,HAJ,DE,Hannover Airport,5891,25
1990,EWR,Newark Liberty International Airport,NJ,HAM,DE,Hamburg Helmut Schmidt Airport,48013,501
1990,EWR,Newark Liberty International Airport,NJ,KIN,JM,Norman Manley International Airport,40609,444
1990,EWR,Newark Liberty International Airport,NJ,LGW,GB,London Gatwick Airport,437160,1566
1990,EWR,Newark Liberty International Airport,NJ,LHR,GB,London Heathrow Airport,112692,553
1990,EWR,Newark Liberty International Airport,NJ,LIS,PT,Humberto Delgado Airport (Lisbon Portela Airport),43879,220
1990,EWR,Newark Liberty International Airport,NJ,MBJ,JM,Sangster International Airport,57370,542
1990,EWR,Newark Liberty International Airport,NJ,MEX,MX,Benito Juárez International Airport,21904,312
1990,EWR,Newark Liberty International Airport,NJ,MRS,FR,Marseille Provence Airport,865,14
1990,EWR,Newark Liberty International Airport,NJ,NAS,BS,Lynden Pindling International Airport,51918,468
1990,EWR,Newark Liberty International Airport,NJ,NRT,JP,Narita International Airport,92977,553
1990,EWR,Newark Liberty International Airport,NJ,NTE,FR,Nantes Atlantique Airport,5633,52
1990,EWR,Newark Liberty International Airport,NJ,ORY,FR,Paris-Orly Airport,248879,1029
1990,EWR,Newark Liberty International Airport,NJ,POP,DO,Gregorio Luperon International Airport,47745,476
1990,EWR,Newark Liberty International Airport,NJ,SDQ,DO,Las Américas International Airport,79778,627
1990,EWR,Newark Liberty International Airport,NJ,SXM,SX,Princess Juliana International Airport,49113,476
1990,EWR,Newark Liberty International Airport,NJ,TFS,ES,Tenerife Sur Airport,6644,44
1990,EWR,Newark Liberty International Airport,NJ,TLS,FR,Toulouse-Blagnac Airport,7843,85
1990,EWR,Newark Liberty International Airport,NJ,WAW,PL,Warsaw Chopin Airport,11894,77
1990,EWR,Newark Liberty International Airport,NJ,YHZ,CA,Halifax / Stanfield International Airport,4799,43
1990,EWR,Newark Liberty International Airport,NJ,YOW,CA,Ottawa Macdonald-Cartier International Airport,21822,826
1990,EWR,Newark Liberty International Airport,NJ,YUL,CA,Montreal / Pierre Elliott Trudeau International Airport,73132,1272
1990,EWR,Newark Liberty International Airport,NJ,YYC,CA,Calgary International Airport,2197,23
1990,EWR,Newark Liberty International Airport,NJ,YYZ,CA,Toronto Lester B. Pearson International Airport,178515,2675
1990,FAI,Fairbanks International Airport,AK,YXY,CA,Whitehorse / Erik Nielsen International Airport,454,13
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,ARN,SE,Stockholm-Arlanda Airport,18909,109
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,BRU,BE,Brussels Airport,1506,18
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,CPH,DK,Copenhagen Kastrup Airport,2969,25
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,CUN,MX,Aeropuerto Internacional de Cancún,3082,29
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,FPO,BS,Grand Bahama International Airport,42634,1005
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,FRA,DE,Frankfurt Airport,21305,61
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,GOT,SE,Göteborg Landvetter Airport,7385,36
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,MBJ,JM,Sangster International Airport,9991,131
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,NAS,BS,Lynden Pindling International Airport,228201,2596
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,YHM,CA,John C. Munro Hamilton International Airport,2001,31
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,YMX,CA,Montreal International (Mirabel) Airport,124253,492
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,YOW,CA,Ottawa Macdonald-Cartier International Airport,15115,87
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,YQB,CA,Quebec Jean Lesage International Airport,64745,381
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,YUL,CA,Montreal / Pierre Elliott Trudeau International Airport,168984,944
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,YWG,CA,Winnipeg / James Armstrong Richardson International Airport,2748,17
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,YYR,CA,Goose Bay Airport,3026,16
1990,FLL,Fort Lauderdale Hollywood International Airport,FL,YYZ,CA,Toronto Lester B. Pearson International Airport,199370,1320
1990,GEG,Spokane International Airport,WA,YVR,CA,Vancouver International Airport,74256,1550
1990,GEG,Spokane International Airport,WA,YYC,CA,Calgary International Airport,108960,1608
1990,GSO,Piedmont Triad International Airport,NC,FPO,BS,Grand Bahama International Airport,891,12
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,BNE,AU,Brisbane International Airport,41315,317
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,CTS,JP,New Chitose Airport,10200,77
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,DPS,ID,Ngurah Rai (Bali) International Airport,44499,296
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,FUK,JP,Fukuoka Airport,65166,668
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,INU,NR,Nauru International Airport,2780,105
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,MAJ,MH,Marshall Islands International Airport,4333,25
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,MNL,PH,Ninoy Aquino International Airport,62761,717
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,NGO,JP,Chubu Centrair International Airport,147075,1065
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,NRT,JP,Narita International Airport,747705,2905
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,OKA,JP,Naha Airport / JASDF Naha Air Base,28303,352
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,PNI,FM,Pohnpei International Airport,569,35
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,POM,PG,Port Moresby Jacksons International Airport,5571,104
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,SDJ,JP,Sendai Airport,7067,74
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,SYD,AU,Sydney Kingsford Smith International Airport,3731,34
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,TKK,FM,Chuuk International Airport,56297,731
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,TPE,TW,Taiwan Taoyuan International Airport,3614,85
1990,GUM,Antonio B. Won Pat International Airport,GU-U-A,YAP,FM,Yap International Airport,24042,381
1990,HNL,Daniel K Inouye International Airport,HI,AKL,NZ,Auckland International Airport,500223,2084
1990,HNL,Daniel K Inouye International Airport,HI,APW,WS,Faleolo International Airport,6087,55
1990,HNL,Daniel K Inouye International Airport,HI,BIK,ID,Frans Kaisiepo Airport,62917,396
1990,HNL,Daniel K Inouye International Airport,HI,BNE,AU,Brisbane International Airport,36431,158
1990,HNL,Daniel K Inouye International Airport,HI,CNS,AU,Cairns International Airport,62335,266
1990,HNL,Daniel K Inouye International Airport,HI,CTS,JP,New Chitose Airport,3582,11
1990,HNL,Daniel K Inouye International Airport,HI,CXI,KI,Cassidy International Airport,4421,200
1990,HNL,Daniel K Inouye International Airport,HI,HND,JP,Tokyo Haneda International Airport,157593,523
1990,HNL,Daniel K Inouye International Airport,HI,KUL,MY,Kuala Lumpur International Airport,30103,208
1990,HNL,Daniel K Inouye International Airport,HI,MAJ,MH,Marshall Islands International Airport,18947,424
1990,HNL,Daniel K Inouye International Airport,HI,MNL,PH,Ninoy Aquino International Airport,304800,1164
1990,HNL,Daniel K Inouye International Airport,HI,NAN,FJ,Nadi International Airport,212601,1224
